Diabetes_Duration,Year,Avg_HbA1c,CumMean_HbA1c,Hazard,Probability,Beta
0,1,7.073498649265272,7.073498649265272,0.0026937642679959275,0.0026901393406606466,
1,2,7.303898216776252,7.188698433020762,0.00462994893500278,0.009217157042694324,16.897214086146782
2,3,7.484855300975601,7.287417389005708,0.0068700798885299955,0.020399300331681802,16.12479834726957
3,4,7.759662301513181,7.405478617132577,0.009811966235479789,0.038487645596184006,9.885061694626526
4,5,7.902638655832333,7.504910624872528,0.013649473840852827,0.06597060511065678,18.079755770739855
5,6,8.035248477045117,7.593300266901292,0.018743127667641017,0.10636580554402131,19.05667574906697
6,7,8.185809817653972,7.67794448843739,0.025651029930818324,0.16435985699226818,16.901142489567757
7,8,8.304687739347811,7.756287394801192,0.03501944213780159,0.24433380181606423,21.592434066460047
8,9,8.512571030132381,7.8403189098379915,0.04826980136932028,0.35236512913324813,12.979469089561928
9,10,8.622922624559367,7.918579281310128,0.06661137853601212,0.4862989437552788,25.005256106399706
10,11,8.705789379597286,7.990143835699871,0.09191999999744463,0.636188717322486,33.67183679028457
11,12,8.785261515094751,8.056403642316111,0.12695283219801748,0.7820378786087476,35.53301216539466
12,13,8.794087391819552,8.113148546124068,0.17447991775850974,0.8965057197263844,316.6896480952496
13,14,8.875840496264999,8.167626542562704,0.24047955552898004,0.965497164758406,34.670987427198234
14,15,8.928303238540476,8.218338322294557,0.33165201939292516,0.9930899630292681,54.54487016011295
15,16,9.046057125061337,8.27007074746748,0.4606114758729771,0.9993699955114791,25.06893404706088
16,17,9.147611782409934,8.321690808346448,0.6434018609793137,0.9999822270272009,29.937212510629706
17,18,9.150169200606282,8.367717385694217,0.8961673769156235,0.9999999012834065,1185.3967530686068
18,19,9.157491251147386,8.409284431244384,1.2456843509308289,0.9999999999473841,411.6983858028143
19,20,9.241092212621735,8.45087482031325,1.7400626678307998,0.9999999999999992,36.77845208547572
20,21,9.30891800294084,8.491734019485992,2.4395647421296203,1.0,46.20655991235731
