Diabetes_Duration,Year,Avg_HbA1c,CumMean_HbA1c,Hazard,Probability,Beta
0,1,6.727085014987847,6.727085014987847,0.0023059572956406955,0.002303300618569648,
1,2,6.963901824126224,6.845493419557036,0.0038410827021052923,0.007652732988016164,14.748201323703697
2,3,7.215043814065943,6.968676884393338,0.005583146165743994,0.01660994654204906,10.556468605465586
3,4,7.418487549102671,7.0811295505706715,0.007731185830247854,0.030451464666550243,11.706064863254063
4,5,7.614601898479139,7.187824020152365,0.010504880564052977,0.05116883338313505,11.749646710838496
5,6,7.792255275650882,7.288562562735451,0.014164017188397921,0.0814731140124606,12.958838774863091
6,7,7.927613716093359,7.379855584643723,0.018997310528986767,0.12451842597016427,17.04778894068057
7,8,8.04270392494894,7.462711627181875,0.02540758165975439,0.18393449644718995,20.17240537825134
8,9,8.123781308147606,7.536163813955846,0.033866244873556196,0.26272638740298293,28.650054261467737
9,10,8.21745910755719,7.60429334331598,0.045150176726592106,0.36332869880100793,25.082182418343574
10,11,8.311878132384523,7.668619233231302,0.060300593554023375,0.4848548271921054,25.326858531380566
11,12,8.38525605336111,7.728338968242119,0.08059411093962897,0.6198271766172747,33.00402985920768
12,13,8.449954999193626,7.783847893699927,0.10779949750693095,0.7537464216315661,37.840288245097575
13,14,8.519829686384847,7.83641802174885,0.14447192463408032,0.8676899100224622,35.55602233797184
14,15,8.554580672655085,7.884295531809267,0.19345063213104735,0.9450735071871033,71.71951658471512
15,16,8.643234485218898,7.931729216397368,0.2602658562167422,0.9844586909395749,28.776115402456266
16,17,8.645943855748126,7.97374184224153,0.3490949465366126,0.9973537562335183,936.8965076842802
17,18,8.684911497983878,8.01325126756055,0.4685956727421457,0.9997828065461908,65.46626540016557
18,19,8.675677632511864,8.048115813084303,0.6268652781592202,0.9999932801201632,-273.54637967233344
19,20,8.69575112714641,8.080497578787408,0.838250865455822,0.9999999476344712,125.73514990734543
20,21,8.796934088843427,8.11461360307579,1.1289668366934127,0.9999999999494624,25.73668246007944
